                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4201,                 5.8888,                 4.2397,                0.00033,                 0.0733,                0.00023,                 0.0001,                 4.2484,                 14.486,                 4.0631,             0.00064815,             0.00064815,             0.00064815
                      2,                 2.8301,                 3.5841,                 3.3501,                 0.0005,                0.04014,                0.00029,                  9e-05,                 4.0786,                 8.6246,                 4.0139,              0.0013018,              0.0013018,              0.0013018
                      3,                 2.2613,                 2.4674,                 2.5544,                0.00202,                0.16928,                0.00131,                0.00072,                 3.9863,                  8.221,                 3.9232,              0.0019422,              0.0019422,              0.0019422
                      4,                 2.0015,                 1.9848,                 2.1541,                0.35409,                 0.4363,                0.29714,                0.14438,                 2.0387,                 2.4848,                 2.1579,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7448,                 1.5617,                 1.9316,                0.70729,                0.67888,                0.73376,                0.31876,                 1.7776,                 2.0059,                 1.8843,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5892,                 1.3416,                 1.7535,                0.94634,                0.84119,                0.89926,                0.61081,                 1.3628,                 1.2141,                 1.5938,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.4731,                 1.1773,                 1.6535,                0.91149,                0.88061,                0.92227,                0.58535,                 1.4268,                 1.2895,                 1.6255,               0.001901,               0.001901,               0.001901
                      8,                 1.4305,                 1.1269,                 1.6192,                0.84869,                0.88831,                0.91016,                 0.5756,                 1.3548,                 2.6447,                 1.5468,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.3123,                0.96924,                 1.4762,                0.97799,                0.90576,                0.96295,                0.61983,                 1.2398,                 0.9866,                 1.4901,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.2056,                0.85747,                 1.4085,                0.97961,                0.93717,                0.98333,                0.71258,                0.99682,                0.91664,                 1.3203,              0.0018416,              0.0018416,              0.0018416
                     11,                    1.3,                0.91995,                 1.4418,                  0.979,                0.94241,                0.98211,                0.64844,                 1.1042,                 1.2106,                 1.3844,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.1376,                0.82136,                 1.3666,                0.96501,                0.96253,                0.98632,                0.71641,                 1.0061,                0.70898,                  1.325,               0.001802,               0.001802,               0.001802
                     13,                 1.1074,                0.79349,                 1.3406,                0.97594,                0.88307,                0.98122,                 0.7126,                 1.0023,                0.80197,                 1.3119,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.1513,                0.84012,                 1.3797,                0.97758,                0.91317,                0.97908,                0.68034,                 1.0152,                0.89633,                  1.261,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0912,                0.77478,                 1.3546,                0.99565,                0.90401,                0.96597,                 0.7033,                0.97416,                 0.7868,                 1.3012,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.0136,                0.69116,                 1.2821,                0.99063,                0.93368,                0.98694,                0.74997,                0.88124,                0.67878,                 1.2142,              0.0017228,              0.0017228,              0.0017228
